day,gamma,direct_liquidity_multiplier_E_k,indirect_liquidity_multiplier_E_k2_over_E_k_minus_1,baseline_direct_liquidity,baseline_indirect_liquidity,liquidity_risk_threshold,liquidity_risk_day,ewi_signal,support_active,support_amount,policy_direct_liquidity,baseline_shortfall,policy_shortfall
1,1.2011995110754763,5.071442701105375,9.94313175328123,304.2865620663225,596.5879051968739,153.9079870488574,False,False,False,0.0,304.2865620663225,0.0,0.0
2,0.7821504401952146,7.456690628938263,12.015327414469585,447.4014377362958,720.919644868175,153.9079870488574,False,False,False,0.0,447.4014377362958,0.0,0.0
3,1.384768191061566,4.2111820572883,8.89020914649487,252.67092343729803,533.4125487896922,153.9079870488574,False,False,False,0.0,252.67092343729803,0.0,0.0
4,1.4713623554601234,3.8544672894232015,8.370675835259341,231.2680373653921,502.2405501155605,153.9079870488574,False,False,False,0.0,231.2680373653921,0.0,0.0
5,0.5848614348157155,8.675405350672605,12.820278117492242,520.5243210403563,769.2166870495345,153.9079870488574,False,False,False,0.0,520.5243210403563,0.0,0.0
6,0.7193825573573159,7.843135362629681,12.282887539017622,470.58812175778087,736.9732523410573,153.9079870488574,False,False,False,0.0,470.58812175778087,0.0,0.0
7,1.1352897384873493,5.412668020126599,10.301463856800309,324.76008120759593,618.0878314080186,153.9079870488574,False,False,False,0.0,324.76008120759593,0.0,0.0
8,0.985311526215399,6.243445576865856,11.07273380599623,374.60673461195137,664.3640283597738,153.9079870488574,False,True,False,0.0,374.60673461195137,0.0,0.0
9,1.084088778502922,5.688347963790291,10.571816027266339,341.3008778274175,634.3089616359803,153.9079870488574,False,False,False,0.0,341.3008778274175,0.0,0.0
10,0.8302199212200867,7.163328946582008,11.802951285906632,429.7997367949205,708.1770771543979,153.9079870488574,False,False,False,0.0,429.7997367949205,0.0,0.0
11,1.4429265939249964,3.9680624728351854,8.54256364266588,238.08374837011112,512.5538185599529,153.9079870488574,False,False,False,0.0,238.08374837011112,0.0,0.0
12,1.3969005038834352,4.159270176776427,8.818160182085583,249.5562106065856,529.0896109251349,153.9079870488574,False,False,False,0.0,249.5562106065856,0.0,0.0
13,1.1131205974910605,5.530938594718904,10.419402965094124,331.85631568313426,625.1641779056474,153.9079870488574,False,False,True,10.0,387.16570163032327,0.0,0.0
14,1.5616581043075566,3.516629275389809,7.818464571459082,210.99775652338855,469.1078742875449,153.9079870488574,False,False,True,10.0,246.16404927728664,0.0,0.0
15,1.2652373755930106,4.755751792190439,9.584449032467123,285.3451075314263,575.0669419480274,153.9079870488574,False,False,True,10.0,332.9026254533307,0.0,0.0
16,0.8285664401316992,7.173372332507349,11.810362841898915,430.40233995044093,708.6217705139348,153.9079870488574,False,False,True,10.0,502.13606327551446,0.0,0.0
17,1.2259924688692392,4.9473102053765885,9.805453430632268,296.8386123225953,588.327205837936,153.9079870488574,False,False,True,10.0,346.3117143763612,0.0,0.0
18,0.8026531288764517,7.331227103370617,11.925541400198863,439.873626202237,715.5324840119318,153.9079870488574,False,False,True,10.0,513.1858972359432,0.0,0.0
19,1.4424903814989292,3.969830454906645,8.545191928989535,238.18982729439873,512.7115157393721,153.9079870488574,False,False,True,10.0,277.88813184346515,0.0,0.0
20,1.0726919164442528,5.75089284789159,10.63101363801997,345.0535708734954,637.8608182811982,153.9079870488574,False,False,True,10.0,402.5624993524113,0.0,0.0
21,1.0274907157102904,6.00293015639399,10.862209819986576,360.17580938363943,651.7325891991945,153.9079870488574,False,True,True,10.0,420.2051109475793,0.0,0.0
22,0.8770850535590387,6.8804372624328405,11.589571069874829,412.82623574597045,695.3742641924897,153.9079870488574,False,False,True,10.0,481.63060837029883,0.0,0.0
23,1.609870573932322,3.350320578637008,7.520881893334608,201.01923471822047,451.2529136000765,153.9079870488574,False,False,False,0.0,201.01923471822047,0.0,0.0
24,1.0374827853714301,5.94668199644887,10.81160192441047,356.8009197869322,648.6961154646282,153.9079870488574,False,False,False,0.0,356.8009197869322,0.0,0.0
25,0.9506984350429742,6.444301669986102,11.241687789980602,386.65810019916614,674.5012673988361,153.9079870488574,False,True,False,0.0,386.65810019916614,0.0,0.0
26,0.9740930180233075,6.308217707182834,11.127870933513474,378.49306243097004,667.6722560108085,153.9079870488574,False,False,True,10.0,441.57523950279835,0.0,0.0
27,1.2916677793217244,4.630237040744476,9.433570039596999,277.8142224446686,566.01420237582,153.9079870488574,False,False,True,10.0,324.11659285211334,0.0,0.0
28,1.2246997121560765,4.95372686788804,9.812668119732002,297.2236120732824,588.7600871839202,153.9079870488574,False,False,True,10.0,346.7608807521628,0.0,0.0
29,1.243317436621735,4.8619961756512655,9.708342082916058,291.7197705390759,582.5005249749635,153.9079870488574,False,False,True,10.0,340.3397322955886,0.0,0.0
30,1.2505135242926184,4.8269048349422174,9.66779543972863,289.61429009653307,580.0677263837179,153.9079870488574,False,False,True,10.0,337.88333844595525,0.0,0.0
31,2.158462038075535,2.0544746954233837,4.290889763812738,123.26848172540302,257.4533858287643,153.9079870488574,True,False,True,10.0,143.81322867963686,30.639505323454372,10.094758369220528
32,0.9573683528836848,6.405366706387943,11.209399933202729,384.3220023832766,672.5639959921638,153.9079870488574,False,False,True,10.0,448.375669447156,0.0,0.0
33,0.9255829347113411,6.591820610591407,11.3621327127675,395.5092366354844,681.7279627660499,153.9079870488574,False,False,True,10.0,461.42744274139847,0.0,0.0
34,0.8406876291446431,7.099846373617764,11.755832997042209,425.9907824170658,705.3499798225325,153.9079870488574,False,False,True,10.0,496.98924615324347,0.0,0.0
