parameter,default_value,explanation
N_NODES,24.0,Number of nodes in the stylised financial network.
S,1.0,Number of simulated scenarios. S=1 is a documentation and smoke-test run.
T,200.0,Number of trading days in the simulated path.
INVESTMENT,100.0,Fixed investment base used to scale routing capacity.
SEED,42.0,Random seed for reproducibility.
GAMMA_SHAPE,0.3190514240176254,Shape parameter of the fallback lognormal gamma distribution.
GAMMA_LOC,0.0,Location parameter of the fallback lognormal gamma distribution.
GAMMA_SCALE,1.0899155671153902,Scale parameter of the fallback lognormal gamma distribution.
LIQUIDITY_RISK_Q,0.025,Quantile used to define the lower-tail liquidity-risk threshold.
BUFFER_NORMAL,40.0,Percentage of investment unavailable in the no-mitigation baseline.
TARGET_RECALL,0.7,Target share of evaluable liquidity-risk days detected by the EWI.
TARGET_PRECISION,0.25,Target share of EWI signals that are true-positive signals.
EWI_LEAD_TIME,5.0,Fixed number of trading days between a true EWI signal and an event.
SUPPORT_START_DELAY,5.0,Number of trading days between an EWI signal and support activation.
SUPPORT_PCT,10.0,Combined additional routing-capacity support as a percentage of the investment base.
SUPPORT_DAYS,10.0,Number of trading days for which support remains active after activation.
GRID_SIZE,5000.0,Number of gamma-grid points used for interpolation.
