section,metric,value
baseline,risk_days,5.0
baseline,risk_day_rate_pct,2.5
baseline,risk_scenarios,1.0
baseline,risk_scenario_rate_pct,100.0
baseline,total_shortfall,155.95730209099725
policy,risk_days,3.0
policy,risk_day_rate_pct,1.5
policy,risk_scenarios,1.0
policy,risk_scenario_rate_pct,100.0
policy,total_shortfall,74.58552855581443
ewi,target_recall_pct,70.0
ewi,target_precision_pct,25.0
ewi,lead_window_days,5.0
ewi,evaluable_event_days,5.0
ewi,detected_event_days,4.0
ewi,achieved_recall_pct,80.0
ewi,signal_days,16.0
ewi,true_positive_signal_days,7.0
ewi,false_positive_signal_days,9.0
ewi,achieved_precision_pct,43.75
ewi,signal_day_rate_pct,8.0
policy_effect,support_intensity_pct,10.25
policy_effect,risk_day_reduction_pct,40.0
policy_effect,shortfall_reduction_pct,52.1756740108933
policy_effect,mitigation_efficiency,5.090309659599346
